date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-01-17,14.101667,14.196667,14.015,14.11,13.914665,11187000.0,11187000.0,0.01667,0.059,28.21444,"January 17, 17",0.00059
2017-01-18,14.15,14.193333,14.033333,14.183333,13.986981,8062200.0,8062200.0,0.06667,0.236,28.27333,"January 18, 17",0.00236
2017-01-19,14.2,14.236667,13.936667,14.035,13.840703,12277200.0,12277200.0,-0.33,-1.162,28.13889,"January 19, 17",-0.01162
2017-01-20,14.178333,14.288333,14.056667,14.18,13.983696,14299800.0,14299800.0,0.00333,0.012,28.35,"January 20, 17",0.00012
2017-01-23,14.105,14.19,13.906667,14.07,13.875217,12111000.0,12111000.0,-0.07,-0.248,28.11111,"January 23, 17",-0.00248
2017-01-24,14.115,14.43,14.091667,14.338333,14.139836,10307400.0,10307400.0,0.44667,1.582,28.57333,"January 24, 17",0.01582
2017-01-25,14.546667,14.71,14.505,14.686667,14.483348,14782800.0,14782800.0,0.28,0.962,29.26778,"January 25, 17",0.00962
2017-01-26,14.676667,14.738333,14.603333,14.653333,14.450474,10736400.0,10736400.0,-0.04667,-0.159,29.33,"January 26, 17",-0.00159
2017-01-27,14.681667,14.71,14.553333,14.601667,14.399526,8385000.0,8385000.0,-0.16,-0.545,29.24333,"January 27, 17",-0.00545
2017-01-30,14.435,14.443333,14.101667,14.338333,14.139836,13938000.0,13938000.0,-0.19334,-0.67,28.58889,"January 30, 17",-0.0067
2017-01-31,14.206667,14.33,14.086667,14.33,14.131618,10948200.0,10948200.0,0.24667,0.868,28.49778,"January 31, 17",0.00868
2017-02-01,14.45,14.511667,14.203333,14.338333,14.139836,11392200.0,11392200.0,-0.22333,-0.773,28.70222,"February 01, 17",-0.00773
2017-02-02,14.255,14.416667,14.18,14.358333,14.159558,8725200.0,8725200.0,0.20667,0.725,28.63667,"February 02, 17",0.00725
2017-02-03,14.55,14.686667,14.486667,14.646667,14.443903,15666600.0,15666600.0,0.19333,0.664,29.21333,"February 03, 17",0.00664
2017-02-06,14.561667,14.643333,14.496667,14.585,14.383089,7933200.0,7933200.0,0.04667,0.16,29.15,"February 06, 17",0.0016
2017-02-07,14.661667,14.705,14.526667,14.575,14.373228,10952400.0,10952400.0,-0.17333,-0.591,29.20444,"February 07, 17",-0.00591
2017-02-08,14.508333,14.653333,14.448333,14.633333,14.430752,7776000.0,7776000.0,0.25,0.862,29.15667,"February 08, 17",0.00862
2017-02-09,14.688333,14.951667,14.678333,14.883333,14.677291,10579200.0,10579200.0,0.39,1.328,29.67556,"February 09, 17",0.01328
2017-02-10,14.968333,15.11,14.943333,15.058333,14.849867,7957200.0,7957200.0,0.18,0.601,30.07444,"February 10, 17",0.00601
2017-02-13,15.17,15.363333,15.166667,15.288333,15.076684,8113800.0,8113800.0,0.23667,0.78,30.54556,"February 13, 17",0.0078
2017-02-14,15.263333,15.49,15.185,15.485,15.27063,9622200.0,9622200.0,0.44333,1.452,30.77333,"February 14, 17",0.01452
2017-02-15,15.431667,15.768333,15.425,15.716667,15.49909,10333800.0,10333800.0,0.57,1.847,31.27333,"February 15, 17",0.01847
2017-02-16,15.731667,15.771667,15.515,15.686667,15.469505,10888200.0,10888200.0,-0.09,-0.286,31.31556,"February 16, 17",-0.00286
2017-02-17,15.528333,15.751667,15.528333,15.748333,15.530317,7430400.0,7430400.0,0.44,1.417,31.35222,"February 17, 17",0.01417
2017-02-21,15.846667,16.075001,15.843333,16.02,15.798225,10543200.0,10543200.0,0.34667,1.094,31.95889,"February 21, 17",0.01094
2017-02-22,15.945,16.046667,15.905,15.991667,15.770281,10210200.0,10210200.0,0.09334,0.293,31.96222,"February 22, 17",0.00293
2017-02-23,16.121668,16.121668,15.848333,16.031668,15.80973,9877800.0,9877800.0,-0.18,-0.558,32.00111,"February 23, 17",-0.00558
2017-02-24,15.82,16.091667,15.815,16.084999,15.862323,7814400.0,7814400.0,0.53,1.675,31.99444,"February 24, 17",0.01675
2017-02-27,16.068333,16.195,16.004999,16.156668,15.932999,8812200.0,8812200.0,0.17667,0.55,32.23778,"February 27, 17",0.0055
2017-02-28,16.066668,16.123333,15.933333,16.036667,15.814658,7790400.0,7790400.0,-0.06,-0.187,32.06222,"February 28, 17",-0.00187
2017-03-01,16.415001,16.803333,16.411667,16.683332,16.452374,11277600.0,11277600.0,0.53666,1.635,33.26556,"March 01, 17",0.01635
2017-03-02,16.651667,16.655001,16.370001,16.4,16.17296,9867000.0,9867000.0,-0.50333,-1.511,32.95,"March 02, 17",-0.01511
2017-03-03,16.363333,16.446667,16.27,16.415001,16.187757,8483400.0,8483400.0,0.10334,0.316,32.75445,"March 03, 17",0.00316
